cid,bdate,gen,dwh_create_date
AW00011000,06-10-1971,Male,26-01-2026
AW00011001,10-05-1976,Male,26-01-2026
AW00011002,09-02-1971,Male,26-01-2026
AW00011003,14-08-1973,Female,26-01-2026
AW00011004,05-08-1979,Female,26-01-2026
AW00011005,01-08-1976,Male,26-01-2026
AW00011006,02-12-1976,Female,26-01-2026
AW00011007,06-11-1969,Male,26-01-2026
AW00011008,04-07-1975,Female,26-01-2026
AW00011009,29-09-1969,Male,26-01-2026
AW00011010,05-08-1969,Female,26-01-2026
AW00011011,03-05-1969,Male,26-01-2026
AW00011012,14-01-1979,Female,26-01-2026
AW00011013,03-08-1979,Male,26-01-2026
AW00011014,06-11-1973,Female,26-01-2026
AW00011015,26-08-1984,Female,26-01-2026
AW00011016,25-10-1984,Male,26-01-2026
AW00011017,24-12-1949,Female,26-01-2026
AW00011018,06-10-1955,Male,26-01-2026
AW00011019,04-09-1983,Male,26-01-2026
AW00011020,19-03-1984,Male,26-01-2026
AW00011021,02-03-1984,Female,26-01-2026
AW00011022,10-04-1984,Female,26-01-2026
AW00011023,09-04-1984,Female,26-01-2026
AW00011024,16-03-1984,Female,26-01-2026
AW00011025,22-06-1951,Female,26-01-2026
AW00011026,01-10-1951,Female,26-01-2026
AW00011027,05-06-1952,Female,26-01-2026
AW00011028,09-10-1951,Female,26-01-2026
AW00011029,19-06-1952,Female,26-01-2026
AW00011030,18-02-1958,Female,26-01-2026
AW00011031,18-02-1953,Female,26-01-2026
AW00011032,08-12-1952,Female,26-01-2026
AW00011033,19-09-1958,Female,26-01-2026
AW00011034,16-12-1952,Female,26-01-2026
AW00011035,23-08-1953,Female,26-01-2026
AW00011036,16-06-1984,Female,26-01-2026
AW00011037,27-05-1983,Female,26-01-2026
AW00011038,20-09-1953,Female,26-01-2026
AW00011039,16-06-1954,n/a,26-01-2026
AW00011040,29-01-1983,n/a,26-01-2026
AW00011041,15-04-1983,n/a,26-01-2026
AW00011042,11-12-1982,Female,26-01-2026
AW00011043,23-08-1981,Female,26-01-2026
AW00011044,21-11-1954,Female,26-01-2026
AW00011045,16-11-1955,Female,26-01-2026
AW00011046,19-09-1955,Female,26-01-2026
AW00011047,27-08-1955,Female,26-01-2026
AW00011048,21-05-1956,Female,26-01-2026
AW00011049,15-01-1986,Female,26-01-2026
AW00011050,06-03-1957,Female,26-01-2026
AW00011051,31-01-1957,Female,26-01-2026
AW00011052,03-02-1957,Female,26-01-2026
AW00011053,17-02-1986,Female,26-01-2026
AW00011054,07-09-1957,Female,26-01-2026
AW00011055,02-09-1957,Male,26-01-2026
AW00011056,01-10-1958,Female,26-01-2026
AW00011057,07-04-1970,Female,26-01-2026
